Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
False 	 75 	 80 	 -0.000000000000920 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 100 	 80 	 -0.000000000019575 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 2 	 20 	 -0.000000000000415 	 0.000000000000334 	 0.000017429255915 	 -1.833 	  3097.0000 	    0.00000 	 -2409638554216.8676757812 	 0.000000000335200 	 0.000000000000005 	 True 	 True 	 True 	 True 
True 	 5 	 20 	 -0.000000000000110 	 0.000000000000351 	 0.000045739203385 	 -1.669 	  1884.5000 	    0.00000 	 -9090909090909.0917968750 	 0.000000000377900 	 0.000000000000010 	 True 	 True 	 True 	 True 
True 	 8 	 20 	 -0.000000000000145 	 0.000000000000281 	 0.000058513941246 	 -1.625 	  3311.0000 	    0.00000 	 -6896551724137.9306640625 	 0.000000000338400 	 0.000000000000005 	 True 	 True 	 True 	 True 
False 	 10 	 20 	 0.000000000000020 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 15 	 20 	 0.000000016320000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000015980 	 True 	 True 	 False 	 True 
False 	 25 	 20 	 0.000000004385500 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000014600 	 True 	 True 	 False 	 True 
True 	 50 	 20 	 0.000000001164500 	 0.000000000041724 	 0.054373233627196 	 -4.217 	  1136.0976 	    0.00000 	 858737655.6462001801 	 0.000000000513000 	 0.000000000001025 	 True 	 True 	 True 	 True 
False 	 75 	 20 	 0.000000000697000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000014120 	 True 	 True 	 False 	 True 
False 	 100 	 20 	 0.000000000007945 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000013195 	 True 	 True 	 False 	 True 
False 	 2 	 5 	 0.000000000142160 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000038600 	 True 	 True 	 False 	 True 
True 	 5 	 5 	 -0.000000000002780 	 0.000000000001139 	 0.000148400543140 	 -1.649 	  3356.0000 	    0.00000 	 -359712230215.8273315430 	 0.000000000363000 	 0.000000000000020 	 True 	 True 	 True 	 True 
True 	 8 	 5 	 -0.000000000001240 	 0.000000000001338 	 0.000279029290076 	 -1.558 	  2930.0000 	    0.00000 	 -806451612903.2257080078 	 0.000000000365100 	 0.000000000000020 	 True 	 True 	 True 	 True 
True 	 10 	 5 	 -0.000000000001480 	 0.000000000001136 	 0.000296196603417 	 -1.520 	  2774.0000 	    0.00000 	 -675675675675.6756591797 	 0.000000000339900 	 0.000000000000020 	 True 	 True 	 True 	 True 
False 	 15 	 5 	 -0.000000000000860 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000061720 	 True 	 True 	 False 	 True 
True 	 25 	 5 	 -0.000000000000760 	 0.000000000001794 	 0.001168666870623 	 -1.686 	  2497.0000 	    0.00000 	 -1315789473684.2104492188 	 0.000000000365500 	 0.000000000000040 	 True 	 True 	 True 	 True 
False 	 50 	 5 	 0.000000009928000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000060300 	 True 	 True 	 False 	 True 
False 	 75 	 5 	 0.000000000291000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000046460 	 True 	 True 	 False 	 True 
False 	 100 	 5 	 0.000000001282400 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000086660 	 True 	 True 	 False 	 True 
