Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
77 	 True 	 2 	 5 	 0.000000286000000 	 0.000000008582353 	 0.447368641225953 	 0.426 	 14400000.0000 	    0.00000 	 3496503.4965034965 	 0.000000000212000 	 0.000000000000020 	 True 	 True 	 True 	 True 	 0 
78 	 True 	 4 	 5 	 0.000000135200000 	 0.000000004041176 	 0.421305355068170 	 12.901 	 13520000.0000 	    0.00000 	 7396449.7041420126 	 0.000000000206000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
79 	 True 	 6 	 5 	 0.000000085800000 	 0.000000003147059 	 0.492136168038146 	 417.469 	  2318.9189 	 1359.65342 	 11655011.6550116539 	 0.000000000206000 	 0.000000000037000 	 True 	 True 	 True 	 True 	 0 
80 	 True 	 8 	 5 	 0.000000175800000 	 0.000000005958824 	 1.242452182486335 	 18.187 	 8790000.0000 	 1475.18798 	 5688282.1387940841 	 0.000000000201000 	 0.000000000000020 	 True 	 True 	 True 	 True 	 0 
81 	 True 	 10 	 5 	 0.000000059400000 	 0.000000002023529 	 0.527398261075147 	 18.245 	 1980000.0000 	 1552.04428 	 16835016.8350168355 	 0.000000000206000 	 0.000000000000030 	 True 	 True 	 True 	 True 	 0 
82 	 True 	 20 	 5 	 0.000000052600000 	 0.000000001890000 	 0.985192216764214 	 20.835 	 438333.3333 	 1615.21181 	 19011406.8441064619 	 0.000000000207000 	 0.000000000000120 	 True 	 True 	 True 	 True 	 0 
83 	 False 	 100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000036000 	 True 	 True 	 False 	 True 	 30 
84 	 False 	 2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000014250 	 True 	 True 	 False 	 True 	 30 
85 	 True 	 4 	 80 	 0.000000001562500 	 0.000000000062132 	 0.006477493177449 	 15.997 	 250000.0000 	    0.00000 	 640000000.0000000000 	 0.000000000256000 	 0.000000000000006 	 True 	 True 	 True 	 True 	 0 
86 	 True 	 6 	 80 	 0.000000003212500 	 0.000000000111949 	 0.017506479342011 	 16.324 	 5140000.0000 	    0.00000 	 311284046.6926070452 	 0.000000000257000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
87 	 True 	 8 	 80 	 0.000000001132500 	 0.000000000043676 	 0.009106818810426 	 18.857 	 1812000.0000 	    0.00000 	 883002207.5055187941 	 0.000000000263000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
88 	 True 	 10 	 80 	 0.000000002275000 	 0.000000000100000 	 0.026063286157783 	 21.023 	 182000.0000 	 1855.29961 	 439560439.5604395866 	 0.000000000242000 	 0.000000000000013 	 True 	 True 	 True 	 True 	 0 
89 	 False 	 20 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001512 	 True 	 True 	 False 	 True 	 30 
90 	 False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 	 30 
91 	 True 	 2 	 20 	 0.000000019400000 	 0.000000000598676 	 0.031206952337746 	 0.440 	 3910000.0000 	    0.00000 	 51546391.7525773197 	 0.000000000211000 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
92 	 True 	 4 	 20 	 0.000000018350000 	 0.000000000768529 	 0.080121607917986 	 15.652 	 4010000.0000 	    0.00000 	 54495912.8065395057 	 0.000000000222000 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
93 	 True 	 6 	 20 	 0.000000016250000 	 0.000000000616324 	 0.096380499077003 	 14.519 	 1083333.3333 	 1595.55514 	 61538461.5384615362 	 0.000000000213000 	 0.000000000000015 	 True 	 True 	 True 	 True 	 0 
94 	 True 	 8 	 20 	 0.000000004905000 	 0.000000000158529 	 0.033054379385989 	 16.340 	 654000.0000 	 2540.54266 	 203873598.3690112233 	 0.000000000208000 	 0.000000000000007 	 True 	 True 	 True 	 True 	 0 
95 	 True 	 10 	 20 	 0.000000010000000 	 0.000000000333971 	 0.087043710094597 	 17.555 	 2000000.0000 	 1898.82757 	 100000000.0000000000 	 0.000000000214000 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
96 	 True 	 20 	 20 	 0.000000006000000 	 0.000000000246471 	 0.128476669413074 	 21.507 	 64864.8649 	 1828.63432 	 166666666.6666666865 	 0.000000000203000 	 0.000000000000092 	 True 	 True 	 True 	 True 	 0 
97 	 False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000006250 	 True 	 True 	 False 	 True 	 30 
98 	 True 	 2 	 5 	 0.000000118800000 	 0.000000003648235 	 0.190170000883027 	 46.436 	  4790.3226 	  974.50955 	 8417508.4175084177 	 0.000000000207000 	 0.000000000024800 	 True 	 True 	 True 	 True 	 0 
99 	 True 	 4 	 5 	 0.000000181200000 	 0.000000005235294 	 0.545795874833583 	 10.770 	 18120000.0000 	    0.00000 	 5518763.7969094925 	 0.000000000210000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
100 	 True 	 6 	 5 	 0.000000082400000 	 0.000000002764706 	 0.432343923323231 	 17.198 	 2746666.6667 	 1792.44736 	 12135922.3300970886 	 0.000000000206000 	 0.000000000000030 	 True 	 True 	 True 	 True 	 0 
101 	 True 	 8 	 5 	 0.000000109800000 	 0.000000003641176 	 0.759208194431433 	 17.029 	 10980000.0000 	 1767.01925 	 9107468.1238615680 	 0.000000000202000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
102 	 True 	 10 	 5 	 0.000000036400000 	 0.000000001508824 	 0.393248994086556 	 14.596 	 4320000.0000 	 1627.16431 	 27472527.4725274742 	 0.000000000227000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
103 	 False 	 20 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 	 30 
104 	 False 	 100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000015480 	 True 	 True 	 False 	 True 	 30 
105 	 True 	 2 	 80 	 0.000000002862500 	 0.000000000080074 	 0.004173958621445 	 -0.335 	 2330000.0000 	    0.00000 	 349344978.1659388542 	 0.000000000500000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
106 	 True 	 4 	 80 	 0.000000001172500 	 0.000000000041324 	 0.004308107888434 	 15.024 	 1876000.0000 	    0.00000 	 852878464.8187632561 	 0.000000000249000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
107 	 True 	 6 	 80 	 0.000000001262500 	 0.000000000045515 	 0.007117576822795 	 16.045 	 1010000.0000 	    0.00000 	 792079207.9207921028 	 0.000000000260000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
108 	 False 	 8 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001588 	 True 	 True 	 False 	 True 	 30 
109 	 False 	 10 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001675 	 True 	 True 	 False 	 True 	 30 
110 	 False 	 20 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001738 	 True 	 True 	 False 	 True 	 30 
111 	 False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001938 	 True 	 True 	 False 	 True 	 30 
112 	 True 	 2 	 20 	 0.000000015000000 	 0.000000000600000 	 0.031275943389340 	 52.542 	  1223.3333 	 1184.22149 	 66666666.6666666716 	 0.000000000221000 	 0.000000000015000 	 True 	 True 	 True 	 True 	 0 
113 	 True 	 4 	 20 	 0.000000023450000 	 0.000000000744853 	 0.077653261405396 	 14.549 	 9380000.0000 	 1309.45356 	 42643923.2409381717 	 0.000000000215000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
114 	 True 	 6 	 20 	 0.000000011200000 	 0.000000000412059 	 0.064437642188920 	 19.511 	 4480000.0000 	 1374.57676 	 89285714.2857142985 	 0.000000000225000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
115 	 True 	 8 	 20 	 0.000000004395000 	 0.000000000155000 	 0.032318474835651 	 15.737 	 1812000.0000 	    0.00000 	 227531285.5517633557 	 0.000000000211000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
116 	 True 	 10 	 20 	 0.000000002460000 	 0.000000000097206 	 0.025335047279845 	 15.825 	 1040000.0000 	    0.00000 	 406504065.0406504273 	 0.000000000216000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
117 	 False 	 20 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000005050 	 True 	 True 	 False 	 True 	 30 
118 	 False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000006500 	 True 	 True 	 False 	 True 	 30 
119 	 True 	 2 	 5 	 0.000000176600000 	 0.000000005341176 	 0.278417221544322 	 -1.181 	 9890000.0000 	    0.00000 	 5662514.1562853903 	 0.000000000222000 	 0.000000000000020 	 True 	 True 	 True 	 True 	 0 
120 	 True 	 4 	 5 	 0.000000119800000 	 0.000000003684118 	 0.384080849896936 	 12.680 	 11980000.0000 	 1237.13002 	 8347245.4090150250 	 0.000000000210000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
121 	 True 	 6 	 5 	 0.000000110800000 	 0.000000003535294 	 0.552848293440983 	 14.934 	 5540000.0000 	 1576.92756 	 9025270.7581227440 	 0.000000000212000 	 0.000000000000020 	 True 	 True 	 True 	 True 	 0 
122 	 True 	 8 	 5 	 0.000000064800000 	 0.000000002223529 	 0.463619866712572 	 18.880 	 3240000.0000 	 1483.98128 	 15432098.7654320989 	 0.000000000211000 	 0.000000000000020 	 True 	 True 	 True 	 True 	 0 
123 	 True 	 10 	 5 	 0.000000043400000 	 0.000000001696471 	 0.442155983994397 	 19.955 	 4340000.0000 	 2073.29464 	 23041474.6543778814 	 0.000000000216000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
124 	 True 	 20 	 5 	 0.000000021200000 	 0.000000000725882 	 0.378377589631821 	 17.127 	 2120000.0000 	    0.00000 	 47169811.3207547218 	 0.000000000211000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
125 	 False 	 100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000044000 	 True 	 True 	 False 	 True 	 30 
126 	 False 	 2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000002913 	 True 	 True 	 False 	 True 	 30 
127 	 True 	 4 	 80 	 0.000000002925000 	 0.000000000116618 	 0.012157756425366 	 34.193 	  4178.5714 	 1402.55410 	 341880341.8803418279 	 0.000000001900000 	 0.000000000000700 	 True 	 True 	 True 	 True 	 0 
128 	 True 	 6 	 80 	 0.000000000232500 	 0.000000000007412 	 0.001159049666781 	 12.268 	 372000.0000 	    0.00000 	 4301075268.8172044754 	 0.000000000209000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
129 	 False 	 8 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001362 	 True 	 True 	 False 	 True 	 30 
130 	 False 	 10 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001338 	 True 	 True 	 False 	 True 	 30 
131 	 True 	 20 	 80 	 0.000000000335000 	 0.000000000019298 	 0.010059278606045 	 26.020 	  1450.8929 	 2140.69995 	 2985074626.8656721115 	 0.000000000251000 	 0.000000000000280 	 True 	 True 	 True 	 True 	 0 
132 	 False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000002750 	 True 	 True 	 False 	 True 	 30 
133 	 False 	 2 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000007000 	 True 	 True 	 False 	 True 	 30 
134 	 True 	 4 	 20 	 0.000000019800000 	 0.000000000717206 	 0.074770968583241 	 16.359 	 8220000.0000 	 1312.09480 	 50505050.5050505027 	 0.000000000214000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
135 	 True 	 6 	 20 	 0.000000006250000 	 0.000000000201765 	 0.031551907595717 	 18.679 	 2500000.0000 	    0.00000 	 160000000.0000000000 	 0.000000000214000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
136 	 True 	 8 	 20 	 0.000000004435000 	 0.000000000163235 	 0.034035585453105 	 26.290 	  2780.5643 	 1927.54812 	 225479143.1792559624 	 0.000000000212000 	 0.000000000001595 	 True 	 True 	 True 	 True 	 0 
137 	 True 	 10 	 20 	 0.000000004565000 	 0.000000000165441 	 0.043119407246333 	 21.936 	 44536.5854 	    0.00000 	 219058050.3833515942 	 0.000000000210000 	 0.000000000000102 	 True 	 True 	 True 	 True 	 0 
138 	 True 	 20 	 20 	 0.000000001470000 	 0.000000000057059 	 0.029742808909471 	 20.600 	 588000.0000 	    0.00000 	 680272108.8435374498 	 0.000000000208000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
139 	 False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000005250 	 True 	 True 	 False 	 True 	 30 
140 	 False 	 2 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000049600 	 True 	 True 	 False 	 True 	 30 
141 	 True 	 4 	 5 	 0.000000134800000 	 0.000000004570588 	 0.476498196343476 	 16.019 	 13480000.0000 	 1346.85169 	 7418397.6261127591 	 0.000000000207000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
142 	 True 	 6 	 5 	 0.000000069200000 	 0.000000002434118 	 0.380646628662028 	 17.897 	 2320000.0000 	 1549.38884 	 14450867.0520231221 	 0.000000000212000 	 0.000000000000030 	 True 	 True 	 True 	 True 	 0 
143 	 True 	 8 	 5 	 0.000000054200000 	 0.000000001968824 	 0.410512088329888 	 18.834 	 2710000.0000 	 1884.55548 	 18450184.5018450208 	 0.000000000204000 	 0.000000000000020 	 True 	 True 	 True 	 True 	 0 
144 	 True 	 10 	 5 	 0.000000017120000 	 0.000000000611765 	 0.159445985906440 	 18.193 	 1712000.0000 	    0.00000 	 58411214.9532710314 	 0.000000000208000 	 0.000000000000010 	 True 	 True 	 True 	 True 	 0 
145 	 False 	 20 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000024200 	 True 	 True 	 False 	 True 	 30 
