Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
True 	 5 	 5 	 0.000000006408000 	 0.000000000245288 	 0.031965087338042 	 26.911 	 16430.7692 	 3199.76640 	 156054931.3358302116 	 -0.000000000008100 	 0.000000000000390 	 True 	 True 	 True 	 True 
True 	 8 	 5 	 0.000000006093000 	 0.000000000345118 	 0.071959199947160 	 34.903 	  2943.4783 	 1227.89066 	 164122763.8273428380 	 0.000000000044200 	 0.000000000002070 	 True 	 True 	 True 	 True 
True 	 10 	 5 	 0.000000002204000 	 0.000000000175000 	 0.045610750776121 	 42.632 	  7109.6774 	 1594.41518 	 453720508.1669691205 	 0.000000000052550 	 0.000000000000310 	 True 	 True 	 True 	 True 
True 	 15 	 5 	 0.000000001484200 	 0.000000000094500 	 0.036944708128658 	 36.388 	  3710.5000 	 2030.87559 	 673763643.7137852907 	 0.000000000029000 	 0.000000000000400 	 True 	 True 	 True 	 True 
True 	 25 	 5 	 0.000000001689900 	 0.000000000107171 	 0.069830442721861 	 38.543 	  3673.6957 	 2921.69404 	 591750991.1829102039 	 0.000000000022200 	 0.000000000000460 	 True 	 True 	 True 	 True 
True 	 50 	 5 	 0.000000000680600 	 0.000000000048053 	 0.062620877830274 	 40.732 	  2835.8333 	 2877.00685 	 1469291801.3517484665 	 0.000000000091800 	 0.000000000000240 	 True 	 True 	 True 	 True 
True 	 75 	 5 	 0.000000000710700 	 0.000000000053353 	 0.104291472993131 	 40.546 	  4441.8750 	 4356.91564 	 1407063458.5619809628 	 0.000000000178100 	 0.000000000000160 	 True 	 True 	 True 	 True 
True 	 100 	 5 	 0.000000000343000 	 0.000000000038359 	 0.099975699432297 	 47.494 	 17150.0000 	 4139.34921 	 2915451895.0437316895 	 0.000000000215750 	 0.000000000000020 	 True 	 True 	 True 	 True 
True 	 2 	 80 	 0.000000002039375 	 0.000000000091875 	 0.004789128831493 	 33.519 	  3158.7609 	 3549.53787 	 490346307.0793747902 	 0.000000003821000 	 0.000000000000646 	 True 	 True 	 True 	 True 
True 	 5 	 80 	 0.000000002372500 	 0.000000000116434 	 0.015173240305460 	 29.843 	 12824.3243 	 3870.77304 	 421496311.9072708488 	 0.000000003245500 	 0.000000000000185 	 True 	 True 	 True 	 True 
True 	 8 	 80 	 0.000000005679375 	 0.000000000272353 	 0.056787301134371 	 26.691 	 16140.3197 	 3031.79324 	 176075712.5563992560 	 0.000000003049500 	 0.000000000000352 	 True 	 True 	 True 	 True 
True 	 10 	 80 	 0.000000027481250 	 0.000000001181618 	 0.307968388643808 	 21.596 	 45005.1177 	 2230.31624 	 36388446.6681828499 	 0.000000005338500 	 0.000000000000611 	 True 	 True 	 True 	 True 
